003,00000001,000000000000071,1,3500,16,2500
003,00000001,000000000000095,1,1450,16,1200
003,00000001,000000000000096,1,1450,16,1200
003,00000001,000000000000044,6,950,16,850
003,00000001,000000000000118,6,792,16,608
003,00000001,000000000000066,6,400,16,267
003,00000001,000000000000101,1,2250,16,1650
003,00000001,000000000000100,1,2250,16,1650
003,00000001,000000000005445,1,2750,16,2400
003,00000002,000000000000645,1,18700,0,17500
003,00000003,000000000000106,1,550,16,413
003,00000003,000000000000110,1,2700,16,2200
003,00000003,000000000000580,1,16000,16,12460
003,00000003,000000000005445,1,2750,16,2400
003,00000003,000000000000749,1,7300,16,5342
003,00000003,000000000000010,1,3250,16,2600
003,00000003,000000000000115,12,150,16,93
003,00000003,000000000006437,1,6500,16,4800
003,00000003,000000000000018,1,4000,16,2850
003,00000003,000000000003924,1,4500,0,3900
003,00000003,000000000000384,1,12500,16,8250
003,00000003,000000000000031,6,250,16,180
003,00000003,000000000003115,2,1050,16,930
003,00000003,000000000000575,2,1500,16,1100
003,00000003,000000000006664,6,1000,16,861
003,00000004,000000000001219,10,1010,16,855
003,00000004,000000000008186,1,9000,16,7000
003,00000004,000000000002441,4,1350,16,1208
003,00000004,000000000002404,4,1375,16,1200
003,00000004,000000000002022,4,1375,16,1200
003,00000004,000000000000003,50,300,0,250
003,00000005,000000000004118,1,16750,0,15000
003,00000005,000000000000021,1,11900,16,7800
003,00000005,000000000000058,12,142,0,120
003,00000006,000000000000003,50,300,0,250
003,00000006,000000000005296,30,291,16,259
003,00000006,000000000007538,12,1084,16,933
003,00000007,000000000000090,36,175,16,156
003,00000008,000000000000364,24,375,0,316
003,00000008,000000000002609,20,380,0,295
003,00000008,000000000005445,1,2750,16,2400
003,00000008,000000000002651,12,678,16,583
003,00000008,000000000000037,12,650,16,400
003,00000009,000000000009309,1,5000,0,3400
003,00000009,000000000000364,24,375,0,316
003,00000009,000000000000059,6,521,16,417
003,00000010,000000000000645,30,190,0,175
003,00000010,000000000005784,50,100,0,26
003,00000010,000000000005927,1,8350,16,7100
003,00000010,000000000007125,12,704,16,614
003,00000011,000000000000060,6,750,0,600
003,00000011,000000000000985,6,2250,16,1736
003,00000011,000000000004599,6,650,16,550
003,00000011,000000000009309,1,5000,0,3400
003,00000011,000000000000003,50,300,0,250
003,00000011,000000000003108,6,1850,16,1800
003,00000012,000000000007125,6,704,16,614
003,00000012,000000000006328,6,490,16,350
003,00000012,000000000000127,2,1600,16,1300
003,00000012,000000000001658,1,10400,16,9700
